Rank,Name,MC_USD_Billion,MC_GBP_Billion,MC_EUR_Billion,MC_INR_Billion
1,JPMorgan Chase,432.92,324.69,398.29,35715.9
2,Bank of America,231.52,173.64,213.0,19100.4
3,Industrial and Commercial Bank of China,194.56,145.92,179.0,16051.2
4,Agricultural Bank of China,160.68,120.51,147.83,13256.1
5,HDFC Bank,157.91,118.43,145.28,13027.58
6,Wells Fargo,155.87,116.9,143.4,12859.28
7,HSBC Holdings PLC,148.9,111.68,136.99,12284.25
8,Morgan Stanley,140.83,105.62,129.56,11618.48
9,China Construction Bank,139.82,104.86,128.63,11535.15
10,Bank of China,136.81,102.61,125.87,11286.82
